abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
obliging;a. 亲切的,体贴的,殷勤的,有礼貌的;[4'blaid9i6]
oblivion;n. 遗忘,忘却,赦免,大赦,湮没;[4'blivi4n]
obscene;a. 淫秽的,猥亵的;[3b'si:n]
obscure;a. 微暗的,难解的,含糊的,不著名的,偏僻的vt. 使阴暗,隐藏,使含糊;[4b'skju4]
observance;n. 遵守,仪式,惯例;[4b'z4:v4ns]
observation;n. 观察,注目,观测;['3bz4:'vei54n]
observe;vt. 观察,遵守,注意到,纪念vi. 注意,评论;[4b'z4:v]
obsolete;a. 荒废的,成废物的,陈旧的n. 废词,陈腐的人,废物;['3bs4li:t]
obstacle;n. 障碍,妨害物,阻碍;['3bst4kl]
obstinate;a. 倔强的,顽固的;['3bstinit]
obstruct;vt. 阻隔,妨碍,阻塞vi. 设障碍;[4bs'tr8kt]
obtain;vt. 获得,达到vi. 流行;[4b'tein]
obvious;a. 明显的,明白的,显然的;['3bvi4s]
occasional;a. 偶然的,临时的,备不时之需的;[4'kei94n4l]
odor;n. 气味,名声,味;['4ud4]
offensive;a. 令人不快的,侮辱的,攻击用的;[4'fensiv]
offer;n. 出价,提议,意图,报价vt. 提供,出价,奉献,演出,使出现,企图vi. 出现,献祭,提议;['3f4]
offhand;a. 即时的,即席的,无准备的ad. 即时地,即席地,随便地;['3f'h1nd]
offspring;n. 子孙,后代,产物;['31:3fspri6]
omit;vt. 省略,删除,疏忽,遗漏;[4u'mit]
onset;n. 攻击,进攻,肇端;['3nset]
opera;n. 歌剧;['3p4r4]
operate;vt.vi. 操作,运转,动手术;['3p4reit]
operator;n. 操作员,行家,经营者,算子n. 运算符;['3p4reit4]
opponent;n. 对手,敌手,反对者a. 敌对的,反对的;[4'p4un4nt]
opportunity;n. 机会,时机;['3p4'tju:niti]
opposed;a. 反对的,敌对的,对抗的;[4'p4uzd]
optimum;n. 最适宜a. 最适宜的;['3ptimi4m]
option;n. 选择权,挑选n. 选项;['3p54n]
opulence;n. 丰裕,丰富,丰饶;[apj4l4ns]
oracle;n. 神谕,神谕处,预言;['3r4kl]
oration;n. 演说,致辞,叙述法;[3'rei54n]
orbit;n. 轨道,常轨,眼眶vt. 绕...轨道而行vi. 进入轨道,盘旋;['3:bit]
orchestra;n. 管弦乐队,乐队演奏处;['3:kistr4]
ordeal;n. 严酷的考验,痛苦的经验;[3:'di:l]
ore;n. 矿石,含有金属的岩石;[3:]
organism;n. 生物,有机体,社会组织;['3:g4niz4m]
original;a. 最初的,原始的,有创意的n. 原物,原作;[4'rid94n4l]
originally;ad. 本来,原来,最初;[4'rid94n4li]
originate;vt. 开始,发明,发起vi. 发源,发生v. 发自;[4'rid9ineit]
ornament;n. 装饰,装饰,教堂用品vt. 装饰,修饰;['3:n4m4nt,'3:n4ment]
oust;vt. 逐出,夺取,驱逐;[aust]
outcome;n. 结果,出口,演变;['autk4m]
outfit;n. 用具,配备,机构vt. 配备,供应vi. 得到装备;['autfit]
outing;n. 郊游,远足a. 远足适用的;['auti6]
output;n. 输出,产品,生产量;['autput]
outrage;n. 暴行,侮辱,愤怒vt. 凌辱,虐待,触犯;['autreid9]
outrageous;a. 暴虐的,极无礼的,可恶的;[aut'reid94s]
outspoken;a. 直言无讳的,坦率的,坦白无隐的;[aut'spouk4n]
outstanding;a. 杰出的,突出的,未付的;[aut'st1ndi6]
outwit;vt. 瞒骗,以智取胜;[aut'wit]
overbearing;a. 傲慢的,骄傲自大的,蛮横的;['ouv4'bA4ri6]
overdue;a. 过期的,未兑的,迟到的;['4uv4'dju:]
overflow;n. 溢值,超值,泛滥vt.vi. (使)溢出,(使)充溢;['4uv4'fl4u]
overlook;vt. 俯瞰,远眺,没注意到n. 眺望,俯瞰中的景色;['4uv4'luk]
oxygen;n. 氧;['3ksid94n]
pacify;vt. 使平静,安慰,绥靖;['p1sifai]
pact;n. 契约,协定,条约;[p1kt]
painstaking;n. 辛苦,苦心,工夫a. 辛苦的,勤勉的,小心的;['peinzteiki6]
palatable;a. 美味的,好吃的,可口的;['p1l4t4bl]
pamphlet;n. 小册子;['p1mflit]
panacea;n. 万能药;['p1n4'si4]
panic;n. 恐慌,惊惶a. 惊慌的,没有理由的,恐慌的vt. 使惊慌,使狂热vi. 惊慌;['p1nik]
parade;n. 游行,炫耀,阅兵vt.vi. 游行,炫耀,(使)列队行进;[p4'reid]
parallel;n. 平行,对比,相匹敌之物a. 平行的,相似的vt. 与...平行,与...相似,相比,使平行;['p1r4lel]
paraphrase;n. 释义,解述,改写vt. 改写,解述vi. 释义;['p1r4freiz]
parasite;n. 寄生虫,食客;['p1r4sait]
parasitic;adj. 1 寄生 (性) 的,寄生动[植]物的,寄生体[质]的2 寄食的,靠别人为生的;['p1r4'sitik]
partial;a. 部分的,偏袒的,偏爱的n. 泛音;['pa:54l]
partially;ad. 部分地,一部分地,不公平地;['pa:54li]
particle;n. 粒子,点,极小量;['pa:tikl]
partisan;n. 党羽,同党的人,游击队员a. 党徒的,效忠的,献身的,盲目推崇的;['pa:ti'z1n]
party;n. 宴会,党,政党,社交聚会,当事人vt.vi. 举行社交聚会;['pa:ti]
passionate;a. 热情的,热烈的,易怒的;['p154nit]
patronage;n. 赞助,光顾,任免权,保护人的身份;['p1tr4nid9]
peak;n. 山顶,顶点,帽舌a. 最高的vi. 到达最高点,消瘦,缩小vt. 使竖起,使达到最高点;[pi:k]
peck;n. 啄痕,啄食,许多vt. 以喙啄,啄食,扔vi. 啄,吹毛求疵,啄食,扔石头;[pek]
peerless;a. 无比的,出类的,无双的;['pi4lis]
penal;a. 刑的,刑罚的,刑法上的n. 刑事;['pi:nl]
penchant;"(C) [对…的]强烈嗜好,偏好; 倾向[for]";['pa:65a:6]
pending;a. 未决定的,待决的prep. 当...的时候,在...期间;['pendi6]
penetrate;vt. 穿透,渗透,看穿vi. 刺入,看穿,渗透;['penitreit]
peninsula;n. 半岛;[pi'ninsjul4]
pensive;a. 沉思的,哀思的,忧沉的;['pensiv]
penury;n. 贫困,贫穷;['penjuri]
perceive;vt. 感觉,认知,理解;[p4'si:v]
perceptive;a. 知觉的,有知觉力的,感知的;[p4'septiv]
percussion;"n. 1 a.  (常指两个坚硬物体的) 撞击,碰撞b. 震动; 音响2 [the ~; 集合称][音乐]打击乐器;  (乐队的) 打击乐器组3 (U) [又作 a ~] [医]叩诊 (法)";[p4'k85n]
perennial;a. 四季不断的,继续多年的;[p4'renj4l]
perfect;n. 完成式a. 完美的,全然的,理想的,完成式的,正确的vt. 使完美,修改,使熟练;['p4:fikt,'p4:fekt]
peril;n. 危险,冒险vt. 置...于险境,冒险;['peril]
perilous;a. 危险的;['peril4s]
permanent;a. 永久的,不变的,固定的,持久的n. 电烫的头发a. 永久的;['p4:m4n4nt]
permeate;vt. 弥漫,渗透,充满vi. 透入;['p4:mi'et]
permissible;a. 可允许的,可容许程度的;[p4'mis4bl]
permissive;a. 许可的,获准的,自由的;[p41:3'misiv]
permit;n. 许可证,许可,执照vt. 允许,容许vi. 容许;[p4:'mit,'p4:mit]
perpetuate;vt. 使永存,使不朽;[p4'petjueit]
perplex;vt. 使困惑,使复杂化,使为难;[p4'pleks]
persevere;vi. 坚持,孜孜不倦,不屈不挠;['p4:si'vi4]
persistent;a. 固执的,坚持的,持续的;[p41:3'sist4nt]
personnel;n. 人员,职员;['p4:s4'nel]
perspective;n. 远景,看法,透视a. 透视的n. 透视;[p4:'spektiv]
persuasive;adj. 有说服力的,善于游说的,令人信服的 adv. ~ly n. ~ness;[p4'sweisiv]
pertinent;a. 相关的,中肯的,切题的;['p4:tin4nt]
pervert;vt. 使堕落,歪曲,滥用n. 堕落者,反常者;[p4:'v4:t]
petition;n. 请愿,诉状,陈情书vt.vi. 请求,恳求,请愿;[pi'ti54n]
petrify;"vt. 1 使…化为石,使…石化; 使…坚硬 [僵硬] 2 使<人心>变无情 [顽固,麻木不仁] 3 使";['petrifai]
phase;n. 时期,局面,阶段vt. 使调整相位,逐步执行,实行;[feiz]
phonetics;n. 语音学,发音学;[f4u'nAtiks]
picturesque;a. 生动的,如画的,独特的;['pikt54'resk]
pierce;vt. 刺穿,穿透,洞悉vi. 刺入;[pi4s]
pilferage;"n. 1 小窃行为,小盗窃2 (U)失窃之损失; 失窃品";['pilf4rid9]
pious;a. 虔诚的;['pai4s]
pit;n. 深坑,果核,陷阱,深渊,地窖vt. 窖藏,使凹下,使竞争,使留疤痕,去...之核vi. 起凹点,凹陷;[pit]
pitiful;a. 慈悲的,可怜的,同情的;['pitiful]
pivot;n. 枢轴,支点a. 枢轴的vi. 在枢轴上转动vt. 装枢轴于;['piv4t]
pivotal;a. 枢轴的,关键的;['piv4tl]
placate;vt. 抚慰,使和解,怀柔;[pl4'keit]
placid;a. 平静的,沉着的,平稳的;['pl1sid]
plague;n. 瘟疫,麻烦,灾祸vt. 折磨,使苦恼,使得灾祸;[pleig]
plaintiff;n. 原告;['plentif]
planet;n. 行星;['pl1nit]
plateau;n. 高地,高原;['pl1t4u]
plausible;a. 似真实的,似合理的,说得煞有介事的,巧嘴的;['pl3:z4bl]
playwright;n. 剧作家;['pleirait]
plea;n. 恳求,辩解,托词,请愿;[pli:]
plead;vi. 辩护,恳求vt. 为...辩护,托称;[pli:d]
pleasing;a. 令人喜爱的,愉快的,舒适的;['pli:zi6]
pleasure;n. 快乐,愉快,希望vt.vi. (使)高兴;['ple94]
pledge;n. 保证,誓言,抵押vt. 保证,使发誓,举杯祝...健康,典当,抵押;[pled9]
plight;n. 境况,誓约,困境vt. 宣誓,保证,约定;[plait]
plot;n. 小块土地,地区图,情节,阴谋,图vt. 划分,绘图,密谋vi. 密谋,策划v. 绘制;[pl3t]
plumb;n. 铅锤,垂直a. 垂直的vt. 使垂直,用铅封,探测,了解vi. 垂直;[pl8m]
plunge;n. 钻进,跳进,跳水,跳水池,落下,盲目投资,投入,下跌vi. 投入,跳进,急降,下降vt. 使投入,使插入,使陷入,使遭受;[pl8nd9]
poise;n. 平衡,均衡,姿势,砝码,安静,镇静vt. 使平衡,使悬着,保持...姿势vi. 平衡,悬着,准备好,犹豫;[p3iz]
pollute;vt. 污染,弄脏,玷污;[p4'lju:t]
ponder;vt.vi. 沉思,考虑;['p3nd4]
ponderous;a. 沉重的,笨重的,冗长的,沉闷的;['p3nd4r4s]
portable;a. 可携带的,可搬运的,可移动的;['p3:t4bl]
portion;n. 部分,一份,命运,嫁妆vt. 将...分配,分配,给...嫁妆;['p3:54n]
portrait;n.肖像,人像,半身像,人物描写n. 纵向;['p3:trit]
;;
 2800 4;;
;;
portray;vt. 描绘,描写,描写...的肖像,逼真地描写;[p3:'trei]
pose;n. 姿势,姿态,装模作样,伪装vi. 摆姿势,装模作样,假装vt. 使摆好姿势,提出,形成,难住;[p4uz]
positive;a. 肯定的,积极的,绝对的;['p3z4tiv]
posterity;n. 子孙,后裔;[p3s'teriti]
postpone;vt. 延迟,使延期,缓办,搁延vi. 延缓发作;[p4ust'p4un]
posture;n. 姿势,态度,情形,形势vt. 作...的姿势vi. 作姿势;['p3st54]
potent;a. 有力的,有效的;['p4ut4nt]
potential;n. 潜在性,可能性,潜力,位,势,潜能a. 有潜力的,可能的,潜在的;[p4'ten54l]
poultry;n. 家禽;['p4ultri]
practical;a. 实际的,现实的,实用性的;['pr1ktik4l]
preach;vt.vi. 传道,讲道,鼓吹,宣讲,说教n. 说教,布道;[pri:t5]
precede;vt. 在...之前,优于,较...优先vi. 在前面;[pri1:3'si:d]
precious;a. 宝贵的,珍贵的,过于精致的,珍爱的;['pre54s]
precipitate;n. 沉淀物vt. 猛抛,使陷入,促成,使沉淀vi. 猛地落下a. 猛地落下的,急躁的,突然的;[pri'sipiteit]
precise;a. 精确的,严谨的,明白的;[pri'sais]
preclude;vt. 预先排除,预防,阻止,妨碍;[pri'klu:d]
precursor;n. 先驱者,前导,先进者;[pri'k4:s4]
predominate;vt. 掌握,控制,支配vi. 统治,成为主流;[pri'd3mineit]
preeminent;a. 优秀的,超群的,卓越的;[pri:'emin4nt]
preferable;a. 较好的,较喜爱的,较合宜的;['pref4r4bl]
preference;n. 偏爱,优先,喜爱物n. 首选项;['pref4r4ns]
pregnant;a. 怀孕的,充满的,含蓄的;['pregn4nt]
prelude;n. 序幕,序言,预兆vi. 作序vt. 为...作序;['prelju:d]
premise;n. 前提,房屋vt. 提论,预述,假定vi. 作出前提;['premis,pri'maiz]
preserve;vt. 保护,保持,维护,保存,保藏,维持,禁猎vi. 做蜜饯,禁猎n. 蜜饯,果酱,防护物,禁区,禁猎地;[pri'z4:v]
pressure;n. 压,榨,按,强制,压强,压迫,压力vt.迫使,使增压,密封;['pre54]
prestige;n. 声望,威望,威信;[pres'ti:9]
presume;vt. 假定,推测,擅自,意味着vi. 擅自行动,相信;[pri'zju:m]
presumption;n. 专横,放肆,可能性,推测,假定;[pri'z8mp54n]
presumptuous;a. 放肆的,冒昧的,冒失的;[pri'z8mptju4s]
pretend;vt.vi. 假装,伪称,自命,自称;[pri'tend]
pretentious;a. 自负的,自任不凡的,夸耀的;[pri'ten54s]
prevail;vi. 获胜,流行,盛行;[pri'veil]
prevalent;a. 普遍的,流行的;['prev4l4nt]
prevent;vt.vi. 预防,防止,妨碍,阻止,避免;[pri'vent]
previous;a. 早先的,前面的,过急的ad. 早先,前面;['pri:vj4s]
primary;n. 最主要者,原色a. 主要的,初期的,根本的,基本的,首要的,原始的;['praim4ri]
primitive;n. 原始人,早期艺术家a. 原始的,上古的,旧式的;['primitiv]
principal;n. 校长,首长,本金,委托人,资本,主犯a. 主要的,重要的,首要的;['prins4p4l]
privilege;n. 特权,特别恩典,基本人权,特免vt.给予...特权,特免;['privilid9]
probe;n. 探针,调查,探测针vt. 用探针测,详细调查vi. 探索,调查;[pr4ub]
probity;n. 诚实,廉洁,正直;['prab4ti]
proceed;vi. 进行,开始,起诉,继续进行;[pr4'si:d]
process;n. 程序,进行,过程vt. 加工,处理,对...处置,对...起诉a. 经加工的,三色版的;['pr4uses]
proclaim;vt. 宣布,公告,赞扬,表明,宣言;[pr4'kleim]
prod;n. 刺针,刺棒,签子vt. 戳,刺,刺激vi. 戳,刺;[pr3d]
prodigal;n. 浪费者a. 浪费的,挥霍的,放荡的;['pr3dig4l]
prodigious;a. 很大的,惊人的,异常的;[pr4'did94s]
profane;a. 世俗的,不敬神的,亵渎的vt. 亵渎,玷污;[pr4'fein]
profess;vt. 声称,以...为业,伪称,讲授vi.表白,承认,当教授;[pr4'fes]
profile;n. 侧面,轮廓,人物素描vt. 描绘...轮廓,评论人物;['pr4ufail]
profoundly;"adv. 深深地,深刻地; 大大地";[pr_'faundli]
profuse;a. 很多的,丰富的,浪费的,慷慨的;[pr4'fju:s]
progress;n. 进步,发展,前进vi. 促进,进步,进行;['pr4ugres,pr4'gres]
proliferate;vi. 增殖,激增,扩散vt. 使激增;[prou'lif4reit]
prolific;a. 生子的,结果实的,多产的,丰富的;[pr4'lifik]
prolong;vt. 延长,拖延,拖长;[pr4'l36]
prominent;a. 卓越的,显著的,凸出的,突起的;['pr3min4nt]
promising;a. 有希望的,前途有望的;['pr3misi6]
prompt;n. 提示,提醒,提白,付款期限a. 迅速的,敏捷的,立刻的,提白员的vt. 激励,鼓动,提示;[pr3mpt]
prone;a. 俯伏的,面向下的有...倾向的;[pr4un]
pronounced;a. 显著的,断然的,明白的;[pr4'naunst]
prop;n. 支柱,支持者,螺旋桨,道具,倚靠人vt. 支撑,维持;[pr3p]
propagate;vt. 繁殖,传播,传送vi. 繁殖,蔓延;['pr3p4geit]
propel;vt. 推进,驱使;[pr4'pel]
propensity;n. 倾向,爱好,习性;[pr4'pensiti]
proportion;n. 比例,比率,均衡,大小,面积,部分vt. 使成比例,使均衡,分摊;[pr4'p3:54n]
proposal;n. 提议,计划,求婚;[pr4'p4uz4l]
propose;vt. 计划,打算,求(婚),向...提议,建议vi. 打算,求婚;[pr4'p4uz]
propriety;n. 礼貌,规矩,适当;[pr4'prai4ti]
proscribe;vt. 1 a. 置;[prou'skraib]
prosecute;vt. 进行,实行,起诉,告发,从事vi. 告发,起诉,作检察官;['pr3sikju:t]
prospect;n. 景色,希望,展望vt. 勘探,寻找vi. 勘探,有前途;['pr3spekt,pr4s'pekt]
prospective;a. 有希望的,预期的,将来的;[pr4s'pektiv]
prosperous;a. 成功的,繁盛的,顺利的,幸运的;['pr3sp4r4s]
prosperity;n. 繁荣,幸运,成功;[pr3s'periti]
protein;n. 蛋白质a. 蛋白质的;['pr4uti:n]
protract;vt. 延长,托长,伸出,绘制;[pr4'tr1kt]
protrude;vi. 凸出,伸出,吐出vt. 使伸出,使突出;[pr4'tru:d]
provide;vt. 提供,供应,预备,装备vi.作准备,赡养,规定;[pr4'vaid]
provident;a. 有先见之明的,有远虑的,节俭的;['pr3vid4nt]
provision;n. 预备,准备,粮食,规定,供应,食物vt. 供给...食物及必需品;[pr4'vi94n]
provoke;vt. 激怒,惹起,驱使;[pr4'v4uk]
proximity;n. 接近,亲近;[prak'sim4ti]
proxy;n. 代理,代理人,委托书;['pr3ksi]
prudent;a. 审慎的,三思而后行的,精明的,节俭的;['pru:d4nt]
prune;n. 干梅子,梅干,深紫红色,傻瓜vt. 修剪,砍掉,删除vi. 删除,删节;[pru:n]
puddle;n. 水池,地上积水,水坑,胶土vt. 搅浊vi. 搅泥浆,在泥污中打滚,;['p8dl]
punch;n. 打洞器,钻孔机,冲压机,冲床,混合甜饮料,殴打,力量vt. 以拳重击,开洞,剪票,冲压vi. 用拳猛击;[p8nt5]
punctual;a. 准时的,守时的,点状的,正确的;['p86ktju4l]
pungent;a. 苦痛的,刺激性的,严厉的;['p8nd94nt]
purchase;n. 购买,购买品,起重装置,紧握,价值vt. 购买,赢得,努力取得,举起;['p4:t54s]
purge;n. 净化,清除,泻药vt.vi. (使)净化,清除,(使)通便;[p4:d9]
quaint;a. 古雅的,离奇有趣的,奇怪的;[kweint]
qualified;a. 有资格的;['kw3lifaid]
quality;n. 品质,特质,才能,质量a. 优质的n. 品质;['kw3liti]
quantitative;a. 数量的,定量的;['kw3ntit4tiv]
quarter;n. 四分之一,一刻钟,季度,地区vt. 四等分,四肢分解vi. 驻扎,住宿;['kw3:t4]
quartz;n. 石英;[kw3:ts]
queer;n. 同性恋者a. 奇怪的,不舒服的,可疑的vt. 搞糟;['kwi4]
quell;vt. 压制,平息,减轻;[kwel]
query;n. 疑问,疑问号,质问vt.vi. 询问,质问n. 查询;['kwi4ri]
quiver;n. 震动,颤抖,箭袋,大群vi. 颤抖,振动,射中vt. 使颤动a. 敏捷的;['kwiv4]
quota;n. 配额,限额;['kw4ut4]
radiant;a. 发光的,明亮的,辐射的,容光焕发的;['reidj4nt]
radiate;vt. 放射,散发,广播,传播,辐射vi. 发光,辐射,流露a. 有射线的,辐射状的;['reidieit]
radical;n. 激进分子,语根,基础a. 激进的,根本的,基本的,根的;['r1dik4l]
radius;n. 半径,范围,辐射光线;['reidj4s]
rage;n. 愤怒,情绪激动,狂暴vi. 大怒,狂吹,风行;[reid9]
ragged;a. 衣衫褴褛的,参差的,刺耳的,粗糙的,不协调的;['r1gid]
raid;n. 袭击,突袭,搜捕vt.vi. 奇袭,搜捕;[reid]
raise;n. 上升,高地,增高,提出vt. 升起,举起,唤起,提高,使出现,使复活,提出,饲养,解除,筹集;['reiz]
rally;n. 重整旗鼓,集合,示威运动,价格回稳vt.vi. 重整旗鼓,集合,恢复精神,嘲笑,挖苦,团结;['r1li]
rank;n. 等级,排,阶级,队伍,横列a. 繁茂的,恶臭的,讨厌的,下流的vt. 排列,归类于,把...分等n. 秩;[r16k]
ransom;n. 赎金,赎身,勒索,敲诈,赎回vt. 赎,赎身,赎回,勒索赎金;['r1ns4m]
rap;n. 轻敲,拍击,责骂,无价值的东西vt. 轻敲,厉声说出,使着迷,抢走,叱责vi. 敲击,发敲击声,交谈,理解;[r1p]
rapacious;a. 强夺的,贪欲的,贪婪的;[r4'pei54s]
rapture;n. 兴高采烈,着迷,欢天喜地,狂喜vt. 使狂喜;['r1pt54]
rashly;ad. 轻率地,无见识地;['r15li]
ratify;vt. 批准,认可;['r1tifai]
ratio;n. 比,比率;['rei5i4u]
ration;n. 定额,定量,配给vt. 配给,定量供应;['r154n]
rational;a. 理性的,合理的,推理的n. 有理数;['r154nl]
ravage;n. 破坏,蹂躏vt.vi. 毁坏,破坏,掠夺;['r1vid9]
ravenous;a. 贪婪的,饿极的,渴望的,狼吞虎咽的;['r8vin4s]
ravish;vt. 强夺,从人间夺走,使出神,强奸;['r1vi5]
ray;n. 光线,放射线,微量,光辉,闪烁vi. 射出光线,浮现,放射光线vt. 放射,显出;[rei]
raze;vt. 毁灭,刮去,把...夷为平地,破坏,抹去,消除;[reiz]
readily;ad. 不迟疑地,迅速地,轻易地;['redili]
realize;vt. 了解,实现,使显得逼真,把...变为现金vi. 变卖为现金;['ri4laiz]
realm;n. 王国,领土,领域;['relm]
reason;n. 理由,原因,理智,理性,前提,道理vt. 说服,推论,辩论vi. 推论,劝说,思考;['ri:zn]
rebate;n. 减少,折扣vt. 减少,打折扣vi. 给回扣,打折扣;['ribeit]
rebel;n. 叛徒,反叛者vi. 造反,反抗,反感,抵抗,谋反a. 造反的,反抗的;['reb4l,ri'bel]
rebellion;n. 谋反,叛乱,反抗;[ri'belj4n]
rebuke;n. 指责,谴责,非难vt. 斥责,指责,非难;[ri'bju:k]
recall;n. 回忆,召回,取消vt. 回想,回忆,召回,恢复,取消,撤销;[ri'k3:l]
recently;ad. 最近;['ri:s_ntli]
reception;n. 接待,欢迎,接收力,招待会,接受;[ri'sep54n]
recipient;a. 领受的,容易接受的,感受性强的n. 领受者,容纳者,容器;[ri'sipi4nt]
reciprocal;a. 互惠的,相互的,彼此相反的,倒数的,相应的n. 倒数,互相起作用的事物;[ri'sipr4k4l]
reckless;a. 不注意的,大意的,鲁莽的,不顾后果的;['reklis]
recluse;a. 隐遁的,寂寞的n. 隐遁者,遁世者;[ri'klu:s]
recognition;n. 赞誉,认得,承认,重视,认识,认可;['rek4g'ni54n]
recognize;vt. 认出,认可,赏识,公认vi. 具结;['rek4gnaiz]
recoil;n. 畏缩,后退,后坐力,反作用,弹回vi. 退却,畏缩,弹回,报应,反冲,撤退;[ri'k3il]
recollection;n. 记忆,回想,回忆;['rek4'lek54n]
recommend;vt. 推荐,介绍,托付,使受欢迎,劝告;['rek4'mend]
reconcile;vt. 使和解,调停,使和谐,使听从,使顺从,使一致;['rek4nsail]
reconciliation;"(U)  [又作 a ~] 和解; 调停; 和谐,一致 [with,between]";['rek4nsili'ei5n]
recover;vt. 重新获得,恢复,复原,使改过vi. 痊愈,复原,胜诉v. 恢复;[ri'k8v4]
recreation;n. 娱乐,消遣,休养;['rekri'ei54n]
