abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
loose;n. ½â·Å,·ÅÈÎ,·Å×Ýa.¿íËÉµÄ,ËÉµÄ,¿íµÄ,²»ÀÎ¹ÌµÄ,²»¾«È·µÄ,×ÔÓÉµÄ,É¢ÂþµÄvt. ÊÍ·Å,·ÅÇ¹,¿ª´¬vi. ±äËÉ,¿ª»ð;[lu:s]
loot;n. Ï´½Ù,ÇÀ¶ávt.vi. Ï´½Ù,ÇÀ¶á;[lu:t]
lottery;n. ½±È¯,²ÊÆ±,ÔËÆø;['lat4ri]
lull;n. ÔÝÍ£,¼äÐª,ÉÔÏ¢,Âé±Ôvt. Ê¹Æ½¾²,ºåÆ­,Ê¹°²¾²vi. ±äÆ½¾²;[l8l]
luminous;a. ·¢¹âµÄ,Ã÷ÁÁµÄ;['lju:min4s]
lure;n. ¶ü,ÓÕ»óvt. ÒýÓÕ,ÓÕ»ó;[lju4]
lurk;n. Ç±·ü,Ç±ÐÐvi. Ç±²Ø,Ç±·ü,Âñ·ü;[l4:k]
luster;n. ¹â²Ê,ÈÙÓþ,¹âÔóvi. ÓÐ¹âÔó,·¢ÁÁvt. Ê¹·¢¹â»Ô;['l8st4]
lusty;a. ½¡×³µÄ,¾«Á¦³äÅæµÄ;['l8sti]
luxuriant;a. ·±Ã¯µÄ,·á¸»µÄ,·ÊÎÖµÄ,»ªÀöµÄ;[l8g'zju4ri4nt]
luxurious;a. ºÀ»ªµÄ,ÉÝ³ÞµÄ,·Å×ÝµÄ;[l8g'zju4ri4s]
lyric;n. ÊãÇéÊ«,¸è´Êa. ÊãÇéµÄ;['lirik]
magnificent;a. »ªÀöµÄ,¸ßÉÐµÄ,·á¸»µÄ;[m1g'nifisnt]
maim;vt. Ê¹²Ð·Ï,Ê¹²»ÄÜ¹¤×÷,Ê¹ÉË²Ð;[meim]
maintain;vt. Î¬³Ö,Î¬ÐÞ,±£³Ö,Ö÷ÕÅ,¹©Ñø,¼á³Ö;[mein'tein]
major;n. Ö÷ÐÞ¿Î,³ÉÄêÈË,Â½¾üÉÙÐ£a. Ö÷ÒªµÄ,½Ï¶àµÄ,ÑÏÖØµÄ,³ÉÄêµÄvi. Ö÷ÐÞ;['meid94]
majority;n. ¶àÊý,´ó°ë;[m4'd93riti]
malady;n. ²¡,¼²²¡,±×²¡;['m1l4di]
malcontent;a. ±§²»Æ½µÄ,²»ÂúµÄ,²»·þµÄn. ²»ÂúÏÖ×´µÄÈË;['m1lk4ntent]
malevolent;a. ÓÐ¶ñÒâµÄ,»µÐÄ³¦µÄ;[m4'lev4l4nt]
malice;n. ¶ñÒâ,ÐîÒâ,Ô¹ºÞ;['m1lis]
malicious;a. »³¶ñÒâµÄ,¶ñ¶¾µÄ;[m4'li54s]
malign;a. ÓÐº¦µÄ,¶ñÐÔµÄ,ÓÐ¶ñÒâµÄvt. ·Ì°ù,Ëµ»µ»°;[m4'lain]
malleable;a. ÓÐÑÓÕ¹ÐÔµÄ,¿É¶ÍµÄ;['m1li4bl]
mammals;²¸Èé¶¯Îï;['m_m_l]
mandate;n. ÃüÁî,Ö¸Áî,ÒªÇóvt. Î¯ÈÎÍ³ÖÎ;['m1ndeit]
mandatory;a. ÃüÁîµÄ,ÍÐ¹ÜµÄ;['m1nd4't4uri]
maneuver;n. ÑÝÏ°,µ÷Ç²,²ßÂÔvi.vt. µ÷Ç²,ÑÝÏ°,ÓÃ¼Æ;[m4'nu:v4]
mangle;vt. ÂÒ¿³,Ëð»µ,Ôþ²¼n. Ôþ²¼»ú;['m16gl]
mania;n. ¿ñÔê,ÈÈÖÔ,¿ñÈÈ;['meinj4]
manifold;n. ¸´Ó¡±¾,¶àÖÖa. ¶àÖÖµÄ,ÓÐÐí¶à²¿·ÖµÄ,¶à·½ÃæµÄvt. ¸´Ð´,·±Ö³,Ôö¶à;['m1nif4uld]
manipulate;vt. ²Ù×Ý,ÀûÓÃ,¼ÙÔì,Ó¦¸¶;[m4'nipjuleit]
manufacture;n. ²úÆ·,ÖÆÔìvt. ÖÆÔì,¼ÙÔìvi. ÖÆÔì;['m1nju'f1kt54]
manure;n. ·ÊÁÏ,·à·Êvt. Ê©·ÊÓÚ;[m4'nju4]
marble;n. ´óÀíÊ¯,Ê¯µ¯,µñ¿ÌÆ·a. ´óÀíÊ¯µÄ,Àä¿áÎÞÇéµÄ,¼áÓ²µÄ;['ma:bl]
margin;n. Ò³±ßµÄ¿Õ°×,±ßÔµ,½çÏÞ,ÓàÔ£,±£Ö¤½ð,²î¶îvt. ¼Ó±ßÓÚ,¼ÓÅÔ×¢ÓÚv. Ò³±ß¾à;['ma:d9in]
marine;n. ½¢¶Ó,Ë®±ø,º£ÔËÒµa. º£µÄ,º£²úµÄ,º£ÔËµÄ,´¬²°µÄ,º£µ×µÄ;[m4'ri:n]
marital;a. ÕÉ·òµÄ,»éÒöµÄ,·ò¸¾¼äµÄ;['m1ritl]
maritime;a. º£µÄ,º£ÉÏµÄ,º£Ô±µÄ,ÑØº£µÄ;['m1ritaim]
marvelous;a. ÁîÈË¾ªÒìµÄ,ÁË²»ÆðµÄ,²»Æ½³£µÄ;['ma:vil4s]
mass;n. ¿é,´ó¶àÊý,ÖÊÁ¿,ÃÖÈö,ÈºÖÚa. ÈºÖÚµÄ,´ó¹æÄ£µÄ,¼¯ÖÐµÄvt. Ê¹¼¯ºÏ,¼¯ÖÐvi. ¾Û¼¯;[m1s]
massive;a. ´ó¶øÖØµÄ,¿í´óµÄ,ºêÎ°µÄ;['m1siv]
matchless;a. ÎÞµÐµÄ,ÎÞ±ÈµÄ;['m1t5lis]
mathematics;n. ÊýÑ§;['m17i'm1tiks]
maxim;n. ¸ñÑÔ,×ùÓÒÃú;['m1ksim]
maze;n. ÃÔ¹¬,ÃÔã¯vt. Ê¹ÃÔã¯,Ê¹»ìÂÒ,ÃÔÊ§;[meiz]
mean;a. µÍÁÓµÄ,±°¼úµÄ,±°±ÉµÄ,Âé·³µÄ,¼òÂªµÄ,ÁßØÄµÄ,²ÑÀ¢µÄ,ÖÐ¼äµÄvt. ÒâÎ½,ÏëÒª,ÒâÓû,Ô¤¶¨vi. ÓÃÒâ,ÓÐÒâÒån. Æ½¾ùÊý,ÖÐ¼ä,ÖÐÓ¹;[mi:n]
meander;n. ºÓÁ÷µÄÇúÕÛ,Âþ²½,ÓØ»ØÂÃÐÐvi. »ºÂý¶øÍäÇúµØÁ÷¶¯,ÂþÌ¸vt. Ê¹òêÑÑÇúÕÛ;[mi'1nd4]
means;n. ·½·¨,ÊÖ¶Î,ÊÕÈë,²Æ²ú,¹¤¾ß;[mi:nz]
mechanical;a. »úÐµµÄ,»úÐµÐÔµÄ,Á¦Ñ§µÄ;[mi'k1nik4l]
mechanics;n. »úÐµÑ§,¼¼ÇÉ,Á¦Ñ§;[mi'k1niks]
meddle;vi. ¸ÉÉæ,¸ÉÔ¤,ÂÒ¸ã;['medl]
mediate;a. ¾Ó¼äµÄ,¼ä½ÓµÄvt. ÎÓÐý,µ÷Í£vi. ´¦ÓÚÖÐ¼ä,µ÷½â;['midieit]
mediocre;a. ²»ºÃ²»»µµÄ,Í¨³£,Æ½·²µÄ;['midi'4uk4]
meditative;a. Ä¬ÏëµÄ,µ¢ÓÚÄ¬ÏëµÄ,Ú¤ÏëµÄ;['mediteitiv]
medium;n. Ã½Ìå,·½·¨,Ã½½éa. °ëÉúÊìµÄ,ÖÐµÄn. Ã½Ìå,ÖÐ;['mi:dj4m]
meek;a. ÎÂË³µÄ,Ç«¹§µÄ;[mi:k]
menace;n. ÍþÐ²,Ð²ÆÈvt.vi. ÍþÏÅ,Ð²ÆÈ;['men4s]
mend;n. ¸Ä½ø,¸ÄÁ¼,ÐÞ²¹´¦,ºÃ×ªvt. ÐÞ¸Ä,¸Ä½ø,¼Ó¿ì,ÐÞÀívi. ºÃ×ª,¸ÄÉÆ;[mend]
menial;a. ÊÊºÏÆÍÈË×öµÄ,±°Î¢µÄn. ÆÍÈË;['mini4l]
mention;n. Ìáµ½,ÑÔ¼°,³ÂÊövt. Ìáµ½,Ìá¼°;['men54n]
merchandise;n. ÉÌÆ·,´æ»õvi.vt. ½»Ò×,ÂòÂô;['m4:t54ndaiz]
merciful;a. ÈÊ´ÈµÄ,´È±¯µÄ;['m4:siful]
merge;vt. Ê¹ºÏ²¢,Ê¹ÏûÊ§,ÍÌÃ»vi. ºÏ²¢,½¥½¥ÏûÊ§v. ºÏ²¢;[m4:d9]
merit;n. ÓÅµã,¹¦¼¨,ÕæÏà,¹¦¹ý,¼ÛÖµvt. ÖµµÃvi. Ó¦ÊÜ;['merit]
messy;a. É¢ÂÒµÄ,ÎÛ»àµÄ,Âé·³µÄ;['mesi]
metabolism;n. ÐÂ³Â´úÐ»,±äÐÎ;[m4't1bliz4m]
methodical;a. ÓÐ·½·¨µÄ,ÓÐÏµÍ³µÄ;[m4'73dikl]
mighty;n. ÓÐÊÆÁ¦µÄÈËa. ÓÐÊÆÁ¦µÄ,Ç¿´óµÄ,ÓÐÁ¦µÄad. ºÜ,¼«;['maiti]
mimicry;n. Ä£·Â;['mimikri]
mine;n. ¿ó,¸»Ô´,µØÀ×vt. ÍÚ¾ò,¿ª²É,ÔÚ...²¼À×,ÆÆ»µvi. ¿ª¿ó,ÂñÉèµØÀ×;[main]
minority;n. ÉÙÊý,Î´³ÉÄê,ÉÙÊýÃñ×åa. ÉÙÊýµÄ,ÊôÓÚÉÙÊýÅÉµÄ;[mai'n3riti]
minute;n. ·Ö,·ÖÖÓ,±Ê¼Ç,±¸ÍüÂ¼,Æ¬¿Ìvt. ¼ÇÂ¼,ÕªÂ¼,²â¶¨Ê±¼äa. Î¢Ð¡µÄ,ÏêÏ¸µÄ;['minit,mai'nju:t]
miser;n. ÊØ²ÆÅ«,ÁßØÄ¹í,Ôä¾®»ú;['maiz4]
miserable;a. ±¯²ÒµÄ,ÇîÀ§µÄ,²»ÐÒµÄ;['miz4r4bl]
miserly;a. ÁßØÄµÄ,Ì°À·µÄ;['maiz4li]
misery;n. ±¯²Ò,²»ÐÒ,ÇîÀ§;['miz4ri]
misgiving;(U) [³£ ~s] [¶ÔÓÐ¹ØÎ´À´Ö®ÊÂµÄ] ²»°²,ÒÉ»ó,ÓÇÂÇ,È±·¦ÐÅÐÄ[about];[mis'givi6]
mishap;n. ²»ÐÒÖ®ÊÂ,ÔÖ»ö,Ø¬ÔË;[mis'h1p]
mitigate;vt. Õò¾²,»ººÍ,¼õÇá;['mitigeit]
mock;n. ³°Ð¦,Ï·Åª,Ä£·Âa. ¼ÙµÄ,Î±ÔìµÄ,Ä£ÄâµÄad. ÐéÎ±µØvt. ³°Åª,Ä£·Â,´ì°Ü,ÆÛÆ­,ÇáÊÓvi. ³°Åª;[m3k]
moderate;a. ÊÊ¶ÈµÄ,ÎÈ½¡µÄ,ÖÐµÈµÄ,½ÚÖÆµÄvt. ½ÚÖÆ,Ê¹ÎÈ¶¨,Ê¹»ººÍvi. ±ä»ººÍ,Ö÷³Ö»áÒé;['m3d4rit]
modest;a. Ç«Ñ·µÄ,ÐßÇÓµÄ,¶Ë×¯µÄ,ÊÊ¶ÈµÄ;['m3dist]
modify;vt. ÐÞÕý,±ä¸ü,¼õÇá,»ººÍ,ÐÞÊÎv. ÐÞ¸Ä;['m3difai]
modulate;vt. µ÷Õû,Ê¹×ªµ÷,µ÷ÖÆvi. ×ªµ÷,µ÷ÖÆ;['m3djuleit]
moist;a. ³±ÊªµÄ,¶àÓêµÄ,¸ÐÉËµÄ,º¬ÀáµÄ;[m3ist]
moisten;vt. ÅªÊªvi. ±ä³±Êª;['m3isn]
mold;n. Ä£×Ó,³ûÐÎ,Ã¹vt.vi. ÐÎ³É,ËÜÔì,·¢Ã¹;[m4uld]
molecule;n. ·Ö×Ó,Ð©Î¢;['m3likju:l]
mollify;vt. Æ½Ï¢,»ººÍ,¼õÇá,Ê¹Õò¾²;['m3lifai]
momentous;a. ÖØ´óµÄ,ÖØÒªµÄ;[mou'ment4s]
monarch;n. µÛÍõ,Í³ÖÎÕß,ÔªÊ×;['m3n4k]
monitor;n. ¼à¶½Æ÷,¼¶³¤,¼àÌýÔ±,¸æ½ëÎï,¼àÊÓÆ÷,°à³¤vt.vi. ¼àÊÓ,¼àÌý,¼à¶½n. ¼àÊÓÆ÷,¼àÊÓ³ÌÐòv. ¼àÊÓ;['m3nit4]
monotonous;a. µ¥µ÷µÄ,ÎÞ±ä»¯µÄ;[m4'n3t4n4s]
monster;n. ¹ÖÎï,¶ñÈË,¾ÞÎï;['m3nst4]
morale;n. Ê¿Æø,ÃñÐÄ;[m3'ra:l]
morbid;a. ²»½¡È«µÄ,²¡Ì¬µÄ,¼²²¡µÄ,¿ÉÅÂµÄ;['m3:bid]
moron;n. µÍÄÜÕß,±¿ÈË;['m3:r3n]
mortal;n. ·²ÈË,ÈËÀàa. ²»ÃâÒ»ËÀµÄ,ÈËÀàµÄ,ÁÙÖÕµÄ;['m3:tl]
mostly;ad. ´ó¸Å,´ó²¿·Ö,Ö÷Òª;['m4ustli]
motif;n. Ö÷Ìâ,ÒâÄî,¶¯»ú,»ù±¾»¨ÎÆ;[mou'ti:f]
motion;n. ÒÆ¶¯,ÊÖÊÆ,¶¯×÷,ÌáÒé,ÇëÇóvt.vi. ´òÊÖÊÆ;['m4u54n]
motivation;n. ¶¯»ú,´Ì¼¤,ÍÆ¶¯;['m4uti'vei54n]
muddle;vt. »ìºÏ,Ê¹Î¢×í,Ê¹Ò§×Ö²»ÇåÎúvi. ºúÂÒ¶Ô¸¶n. À§»ó,»ì×Ç×´Ì¬;['m8dl]
multitude;n. ¶àÊý,ÈºÖÚ;['m8ltitju:d]
munificent;a. ¿íºêµÄ,¿¶¿®µÄ;[mju:'nifisnt]
mutation;n. ±ä»¯,×ª±ä,ÔªÒô±ä»¯;[mju:'tei54n]
mutual;a. Ïà»¥µÄ,¹²ÓÐµÄ;['mju:tju4l]
mysterious;a. ÉñÃØµÄ,ÄÑ½âµÄ,²»¿ÉË¼ÒéµÄ;[mis'ti4ri4s]
narrate;vt.vi. Ëµ¹ÊÊÂ,ËµÃ÷,ÐðÊö;[n1'reit]
nationality;n. ¹ú¼®,¹ú¼Ò,Ãñ×åÐÔ;['n154'n1liti]
natural;n. ÌìÉúµÄ°×³Õa. ×ÔÈ»µÄ,×ÔÈ»½çµÄ,±¾ÄÜµÄ,ÌìÈ»µÄ,ÌìÉúµÄ,ÎïÖÊµÄ,Õý³£µÄ,±¾Î»µÄ,×ÔÈ»ÊýµÄ,ÃÉÃÁµÄ;['n1t54r4l]
naughty;a. ÍçÆ¤µÄ,Ã»¹æ¾ØµÄ,²»ÊÊµ±µÄ,ÏÂÁ÷µÄ;['n3:ti]
naval;a. º£¾üµÄ,¾ü½¢µÄ,ÓÐ½¢¶ÓµÄ;['neiv4l]
navigation;n. º½ÐÐ,º½º£,µ¼º½;['n1vi'gei54n]
nearly;ad. ¼¸ºõ,ÃÜÇÐµØ;['ni4li]
needy;a. Æ¶ÇîµÄ,Æ¶À§µÄ,Éú»î¼è¿àµÄ;['ni:di]
neglect;n. Êèºö,ºöÂÔ,µ¡Âývt. Êèºö,ºöÊÓ,²»¹Ë;[ni'glekt]
negligence;n. Êèºö,´ÖÐÄ´óÒâ,ºöÊÓ;['neglid94ns]
negligent;a. ÊèºöµÄ,´ÖÐÄµÄ,²»ÔÚÒâµÄ;['neglid94nt]
negotiate;vi. ÉÌÒé,Ì¸ÅÐ,½»Éævt. Ì¸Í×,×ªÈÃ,´¦Àí;[ni'g4u5ieit]
nervous;a. Éñ¾­½ôÕÅµÄ,²»°²µÄ,Éñ¾­µÄ;['n4:v4s]
neutral;n. ÖÐÁ¢Õß,ÖÐÁ¢¹ú,·Ç²ÊÉ«,³ÝÂÖµÄ¿Õµµa. ÖÐÁ¢µÄ,ÖÐÐÔµÄ,ÎÞÉ«µÄ;['nju:tr4l]
neutralize;vt. Ê¹ÖÐÁ¢,Ê¹³ÉÖÐÁ¢µØ´ø,Ê¹ÖÐºÍ,µÖÏûvi. ÖÐÁ¢»¯,±äÎÞÐ§,ÖÐºÍ;['nju:tr4laiz]
nibble;n. °ëÎ»Ôª×é,Ï¸Ò§,ÇáÒ§,¿Ðvt.vi. Ò»µãÒ»µãµØÒ§,Ï¸Ò§,´µÃ«Çó´Ãn. °ë×Ö½Ú;['nibl]
nimble;a. Ãô½ÝµÄ,ÁæÀþµÄ,¾«Ã÷µÄ;['nimbl]
nocturnal;a. Ò¹µÄ,Ò¹ÇúµÄ;[n3k't4:n4l]
nod;n. µãÍ·,´òíï,°Ú¶¯vi. µãÍ·,´òíï,vt. µãÍ·±íÊ¾,µã(Í·);[n3d]
nominate;vt. ÌáÃû,ÈÎÃü,ÃüÃû;['n3mineit]
nonsense;n. ÎÞÒâÒåµÄÊÂ,»ÄÃýµÄÑÔÐÐ,»ÄÌÆ;['n3ns4ns]
nostalgia;n. Ïç³î,ÏòÍù¹ýÈ¥,»³¾ÉÖ®Çé;[na'st1ld9i4]
notable;n. ÖøÃûÈËÊ¿,ÖµµÃ×¢ÒâÖ®ÊÂÎïa. ÖµµÃ×¢ÒâµÄ,ÏÔÖøµÄ,ÉÆÀí¼ÒµÄ;['n4ut4bl]
noted;a. ÖøÃûµÄ,ÏÔÖøµÄ,ÑïÃûµÄ;['n4utid]
notorious;a. ÉùÃûÀÇ½åµÄ,¶ñÃûÕÑÕÅµÄ,ÖÚÈË½ÔÖªµÄ;[n4u't3:ri4s]
novelty;n. ÐÂÆæ,ÐÂÏÊ,ÐÂÆæµÄÊÂÎï;['n3v4lti]
novice;n. ÐÂÊÖ,³õÑ§Õß;['n3vis]
noxious;a. ÓÐº¦µÄ,ÓÐ¶¾µÄ,¾«Éñ²»½¡È«µÄ;['n3k54s]
nuclear;a. ºË×ÓµÄ,Ô­×ÓÄÜµÄ,ºËµÄ,ÖÐÐÄµÄ;['nju:kli4]
null;a. ÎÞÐ§Á¦µÄ,ÎÞÐ§µÄ,ÎÞ¼ÛÖµµÄn. Áã,¿Õ,ÁãÐÅºÅ;[n8l]
numb;a. ÂéÄ¾µÄ,Ê§È¥Öª¾õµÄvt. Ê¹ÂéÄ¾,Ê¹»èÃÔ,Ê¹Ê§È¥Öª¾õ;[n8m]
numerous;a. ºÜ¶àµÄ,ÊýÄ¿ÖÚ¶àµÄ,¶àÊýµÄ;['nju:m4r4s]
nurture;n. ÑøÓý,ÓªÑøÎï,½ÌÓývt. ÑøÓý,¸øÓèÓªÑøÎï,½ÌÑø;['n4:t54]
nutriment;n. ÓªÑøÎï,Ê³Îï,ÓªÑøËØ;['nju:trim4nt]
oasis;n. ÂÌÖÞ,ÊæÊÊµÄµØ·½;['4ueisis]
oath;n. ÊÄÔ¼,ÊÄÑÔ,ÖäÂî;[4u7]
obedience;n. ·þ´Ó,Ë³´Ó,ÖÒÊµ;[4'bi:dj4ns]
objective;n. Ä¿µÄ,ÊÜ¸ñ,ÊµÎïa. ¿Í¹ÛµÄ,ÍâÔÚµÄ,ÊÜ´ÊµÄ;[3b'd9ektiv]
obligatory;a. Òå²»ÈÝ´ÇµÄ,ÒåÎñµÄ;[4'blig4't4uri]
obliging;a. Ç×ÇÐµÄ,ÌåÌùµÄ,ÒóÇÚµÄ,ÓÐÀñÃ²µÄ;[4'blaid9i6]
oblivion;n. ÒÅÍü,ÍüÈ´,ÉâÃâ,´óÉâ,äÎÃ»;[4'blivi4n]
obscene;a. Òù»àµÄ,â«ÙôµÄ;[3b'si:n]
obscure;a. Î¢°µµÄ,ÄÑ½âµÄ,º¬ºýµÄ,²»ÖøÃûµÄ,Æ«Æ§µÄvt. Ê¹Òõ°µ,Òþ²Ø,Ê¹º¬ºý;[4b'skju4]
observance;n. ×ñÊØ,ÒÇÊ½,¹ßÀý;[4b'z4:v4ns]
observation;n. ¹Û²ì,×¢Ä¿,¹Û²â;['3bz4:'vei54n]
observe;vt. ¹Û²ì,×ñÊØ,×¢Òâµ½,¼ÍÄîvi. ×¢Òâ,ÆÀÂÛ;[4b'z4:v]
obsolete;a. »Ä·ÏµÄ,³É·ÏÎïµÄ,³Â¾ÉµÄn. ·Ï´Ê,³Â¸¯µÄÈË,·ÏÎï;['3bs4li:t]
obstacle;n. ÕÏ°­,·Áº¦Îï,×è°­;['3bst4kl]
obstinate;a. ¾óÇ¿µÄ,Íç¹ÌµÄ;['3bstinit]
obstruct;vt. ×è¸ô,·Á°­,×èÈûvi. ÉèÕÏ°­;[4bs'tr8kt]
obtain;vt. »ñµÃ,´ïµ½vi. Á÷ÐÐ;[4b'tein]
obvious;a. Ã÷ÏÔµÄ,Ã÷°×µÄ,ÏÔÈ»µÄ;['3bvi4s]
occasional;a. Å¼È»µÄ,ÁÙÊ±µÄ,±¸²»Ê±Ö®ÐèµÄ;[4'kei94n4l]
odor;n. ÆøÎ¶,ÃûÉù,Î¶;['4ud4]
offensive;a. ÁîÈË²»¿ìµÄ,ÎêÈèµÄ,¹¥»÷ÓÃµÄ;[4'fensiv]
offer;n. ³ö¼Û,ÌáÒé,ÒâÍ¼,±¨¼Ûvt. Ìá¹©,³ö¼Û,·îÏ×,ÑÝ³ö,Ê¹³öÏÖ,ÆóÍ¼vi. ³öÏÖ,Ï×¼À,ÌáÒé;['3f4]
offhand;a. ¼´Ê±µÄ,¼´Ï¯µÄ,ÎÞ×¼±¸µÄad. ¼´Ê±µØ,¼´Ï¯µØ,Ëæ±ãµØ;['3f'h1nd]
offspring;n. ×ÓËï,ºó´ú,²úÎï;['31:3fspri6]
omit;vt. Ê¡ÂÔ,É¾³ý,Êèºö,ÒÅÂ©;[4u'mit]
onset;n. ¹¥»÷,½ø¹¥,ÕØ¶Ë;['3nset]
opera;n. ¸è¾ç;['3p4r4]
operate;vt.vi. ²Ù×÷,ÔË×ª,¶¯ÊÖÊõ;['3p4reit]
operator;n. ²Ù×÷Ô±,ÐÐ¼Ò,¾­ÓªÕß,Ëã×Ón. ÔËËã·û;['3p4reit4]
opponent;n. ¶ÔÊÖ,µÐÊÖ,·´¶ÔÕßa. µÐ¶ÔµÄ,·´¶ÔµÄ;[4'p4un4nt]
opportunity;n. »ú»á,Ê±»ú;['3p4'tju:niti]
opposed;a. ·´¶ÔµÄ,µÐ¶ÔµÄ,¶Ô¿¹µÄ;[4'p4uzd]
optimum;n. ×îÊÊÒËa. ×îÊÊÒËµÄ;['3ptimi4m]
option;n. Ñ¡ÔñÈ¨,ÌôÑ¡n. Ñ¡Ïî;['3p54n]
opulence;n. ·áÔ£,·á¸»,·áÈÄ;[apj4l4ns]
oracle;n. ÉñÚÍ,ÉñÚÍ´¦,Ô¤ÑÔ;['3r4kl]
oration;n. ÑÝËµ,ÖÂ´Ç,ÐðÊö·¨;[3'rei54n]
orbit;n. ¹ìµÀ,³£¹ì,ÑÛ¿ôvt. ÈÆ...¹ìµÀ¶øÐÐvi. ½øÈë¹ìµÀ,ÅÌÐý;['3:bit]
orchestra;n. ¹ÜÏÒÀÖ¶Ó,ÀÖ¶ÓÑÝ×à´¦;['3:kistr4]
ordeal;n. ÑÏ¿áµÄ¿¼Ñé,Í´¿àµÄ¾­Ñé;[3:'di:l]
ore;n. ¿óÊ¯,º¬ÓÐ½ðÊôµÄÑÒÊ¯;[3:]
organism;n. ÉúÎï,ÓÐ»úÌå,Éç»á×éÖ¯;['3:g4niz4m]
original;a. ×î³õµÄ,Ô­Ê¼µÄ,ÓÐ´´ÒâµÄn. Ô­Îï,Ô­×÷;[4'rid94n4l]
originally;ad. ±¾À´,Ô­À´,×î³õ;[4'rid94n4li]
originate;vt. ¿ªÊ¼,·¢Ã÷,·¢Æðvi. ·¢Ô´,·¢Éúv. ·¢×Ô;[4'rid9ineit]
ornament;n. ×°ÊÎ,×°ÊÎ,½ÌÌÃÓÃÆ·vt. ×°ÊÎ,ÐÞÊÎ;['3:n4m4nt,'3:n4ment]
oust;vt. Öð³ö,¶áÈ¡,ÇýÖð;[aust]
outcome;n. ½á¹û,³ö¿Ú,ÑÝ±ä;['autk4m]
outfit;n. ÓÃ¾ß,Åä±¸,»ú¹¹vt. Åä±¸,¹©Ó¦vi. µÃµ½×°±¸;['autfit]
outing;n. ½¼ÓÎ,Ô¶×ãa. Ô¶×ãÊÊÓÃµÄ;['auti6]
output;n. Êä³ö,²úÆ·,Éú²úÁ¿;['autput]
outrage;n. ±©ÐÐ,ÎêÈè,·ßÅ­vt. ÁèÈè,Å°´ý,´¥·¸;['autreid9]
outrageous;a. ±©Å°µÄ,¼«ÎÞÀñµÄ,¿É¶ñµÄ;[aut'reid94s]
outspoken;a. Ö±ÑÔÎÞ»äµÄ,Ì¹ÂÊµÄ,Ì¹°×ÎÞÒþµÄ;[aut'spouk4n]
outstanding;a. ½Ü³öµÄ,Í»³öµÄ,Î´¸¶µÄ;[aut'st1ndi6]
outwit;vt. Â÷Æ­,ÒÔÖÇÈ¡Ê¤;[aut'wit]
overbearing;a. °ÁÂýµÄ,½¾°Á×Ô´óµÄ,ÂùºáµÄ;['ouv4'bA4ri6]
overdue;a. ¹ýÆÚµÄ,Î´¶ÒµÄ,³Ùµ½µÄ;['4uv4'dju:]
overflow;n. ÒçÖµ,³¬Öµ,·ºÀÄvt.vi. (Ê¹)Òç³ö,(Ê¹)³äÒç;['4uv4'fl4u]
overlook;vt. ¸©î«,Ô¶Ì÷,Ã»×¢Òâµ½n. Ì÷Íû,¸©î«ÖÐµÄ¾°É«;['4uv4'luk]
oxygen;n. Ñõ;['3ksid94n]
pacify;vt. Ê¹Æ½¾²,°²Î¿,Ëç¾¸;['p1sifai]
pact;n. ÆõÔ¼,Ð­¶¨,ÌõÔ¼;[p1kt]
painstaking;n. ÐÁ¿à,¿àÐÄ,¹¤·òa. ÐÁ¿àµÄ,ÇÚÃãµÄ,Ð¡ÐÄµÄ;['peinzteiki6]
palatable;a. ÃÀÎ¶µÄ,ºÃ³ÔµÄ,¿É¿ÚµÄ;['p1l4t4bl]
pamphlet;n. Ð¡²á×Ó;['p1mflit]
panacea;n. ÍòÄÜÒ©;['p1n4'si4]
panic;n. ¿Ö»Å,¾ª»Ìa. ¾ª»ÅµÄ,Ã»ÓÐÀíÓÉµÄ,¿Ö»ÅµÄvt. Ê¹¾ª»Å,Ê¹¿ñÈÈvi. ¾ª»Å;['p1nik]
parade;n. ÓÎÐÐ,ìÅÒ«,ÔÄ±øvt.vi. ÓÎÐÐ,ìÅÒ«,(Ê¹)ÁÐ¶ÓÐÐ½ø;[p4'reid]
parallel;n. Æ½ÐÐ,¶Ô±È,ÏàÆ¥µÐÖ®Îïa. Æ½ÐÐµÄ,ÏàËÆµÄvt. Óë...Æ½ÐÐ,Óë...ÏàËÆ,Ïà±È,Ê¹Æ½ÐÐ;['p1r4lel]
paraphrase;n. ÊÍÒå,½âÊö,¸ÄÐ´vt. ¸ÄÐ´,½âÊövi. ÊÍÒå;['p1r4freiz]
parasite;n. ¼ÄÉú³æ,Ê³¿Í;['p1r4sait]
parasitic;adj. 1 ¼ÄÉú (ÐÔ) µÄ,¼ÄÉú¶¯[Ö²]ÎïµÄ,¼ÄÉúÌå[ÖÊ]µÄ2 ¼ÄÊ³µÄ,¿¿±ðÈËÎªÉúµÄ;['p1r4'sitik]
partial;a. ²¿·ÖµÄ,Æ«Ì»µÄ,Æ«°®µÄn. ·ºÒô;['pa:54l]
partially;ad. ²¿·ÖµØ,Ò»²¿·ÖµØ,²»¹«Æ½µØ;['pa:54li]
particle;n. Á£×Ó,µã,¼«Ð¡Á¿;['pa:tikl]
